[Lab2] Flow matching on symmetric GMM ...

  0%|          | 0/5000 [00:00<?, ?it/s]
loss: 103.8338:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 103.0649:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 113.0735:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 104.0661:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 105.6856:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 113.4136:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 104.1774:   0%|          | 0/5000 [00:00<?, ?it/s]
loss: 104.1774:   0%|          | 7/5000 [00:00<01:11, 69.79it/s]
loss: 197.1167:   0%|          | 7/5000 [00:00<01:11, 69.79it/s]
loss: 103.9759:   0%|          | 7/5000 [00:00<01:11, 69.79it/s]
loss: 101.6173:   0%|          | 7/5000 [00:00<01:11, 69.79it/s]
loss: 102.8243:   0%|          | 7/5000 [00:00<01:11, 69.79it/s]
loss: 99.2775:   0%|          | 7/5000 [00:00<01:11, 69.79it/s] 
loss: 98.0296:   0%|          | 7/5000 [00:00<01:11, 69.79it/s]
loss: 98.1777:   0%|          | 7/5000 [00:00<01:11, 69.79it/s]
loss: 96.5904:   0%|          | 7/5000 [00:00<01:11, 69.79it/s]
loss: 94.5205:   0%|          | 7/5000 [00:00<01:11, 69.79it/s]
loss: 94.5205:   0%|          | 16/5000 [00:00<01:04, 77.37it/s]
loss: 92.7354:   0%|          | 16/5000 [00:00<01:04, 77.37it/s]
loss: 90.8672:   0%|          | 16/5000 [00:00<01:04, 77.37it/s]
loss: 88.5754:   0%|          | 16/5000 [00:00<01:04, 77.37it/s]
loss: 88.1374:   0%|          | 16/5000 [00:00<01:04, 77.37it/s]
loss: 83.0762:   0%|          | 16/5000 [00:00<01:04, 77.37it/s]
loss: 80.3110:   0%|          | 16/5000 [00:00<01:04, 77.37it/s]
loss: 77.6532:   0%|          | 16/5000 [00:00<01:04, 77.37it/s]
loss: 78.4607:   0%|          | 16/5000 [00:00<01:04, 77.37it/s]
loss: 73.1041:   0%|          | 16/5000 [00:00<01:04, 77.37it/s]
loss: 66.9760:   0%|          | 16/5000 [00:00<01:04, 77.37it/s]
loss: 64.1190:   0%|          | 16/5000 [00:00<01:04, 77.37it/s]
loss: 64.1190:   1%|          | 27/5000 [00:00<00:57, 87.11it/s]
loss: 64.8174:   1%|          | 27/5000 [00:00<00:57, 87.11it/s]
loss: 58.9434:   1%|          | 27/5000 [00:00<00:57, 87.11it/s]
loss: 85.8217:   1%|          | 27/5000 [00:00<00:57, 87.11it/s]
loss: 48.8573:   1%|          | 27/5000 [00:00<00:57, 87.11it/s]
loss: 47.1616:   1%|          | 27/5000 [00:00<00:57, 87.11it/s]
loss: 58.6739:   1%|          | 27/5000 [00:00<00:57, 87.11it/s]
loss: 41.0356:   1%|          | 27/5000 [00:00<00:57, 87.11it/s]
loss: 44.9250:   1%|          | 27/5000 [00:00<00:57, 87.11it/s]
loss: 39.2880:   1%|          | 27/5000 [00:00<00:57, 87.11it/s]
loss: 39.2880:   1%|          | 36/5000 [00:00<01:12, 68.45it/s]
loss: 40.5611:   1%|          | 36/5000 [00:00<01:12, 68.45it/s]
loss: 41.2227:   1%|          | 36/5000 [00:00<01:12, 68.45it/s]
loss: 43.3179:   1%|          | 36/5000 [00:00<01:12, 68.45it/s]
loss: 40.4618:   1%|          | 36/5000 [00:00<01:12, 68.45it/s]
loss: 40.9803:   1%|          | 36/5000 [00:00<01:12, 68.45it/s]
loss: 35.8704:   1%|          | 36/5000 [00:00<01:12, 68.45it/s]
loss: 39.3417:   1%|          | 36/5000 [00:00<01:12, 68.45it/s]
loss: 39.0047:   1%|          | 36/5000 [00:00<01:12, 68.45it/s]
